StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,irb_consent,age,zip_code,county,household_income,single_parent,occupation,occupation_9_TEXT,housing,housing_5_TEXT,food,housing_stress,energy_stress,food_stress,trans_stress,internet_access,internet_devices,internet_devices_6_TEXT,child_care,child_care_needs,child_care_needs_3_TEXT,child_care_stress,clothing_stress,services,services_15_TEXT,organizations,organizations_7_TEXT,resources_non_access,resources_non_access_15_TEXT,why_non_access,why_non_access_6_TEXT,happy,sad,stressed,angry,frustrated,tired,hopeful,worried,raffle
2023-01-24 12:46:14,2023-01-24 12:46:18,IP Address,100,3,True,2023-01-24 12:46:19,R_3KSKE2KqK3moEeo,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24 16:33:40,2023-01-24 16:38:40,IP Address,100,300,True,2023-01-24 16:38:41,R_Dwv6I7lImz436h3,qr,EN,0.8999999761581421,Yes,50,31601,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Very stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Somewhat stressful,Mental health services,,Other (please specify),"Professional counselor ","None, I was able to access all the resources I needed",,,,Some of the time,Most of the time,Nearly always,Some of the time,Some of the time,Most of the time,Rarely,Nearly always,No
2023-01-25 09:24:03,2023-01-25 09:24:56,Survey Preview,100,53,True,2023-01-25 09:24:57,R_2tzmZYRLZ0YztGv,preview,EN,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
2023-01-26 09:20:25,2023-01-26 09:23:47,IP Address,100,202,True,2023-01-26 09:23:47,R_3qXcoQvqvsZEMpS,qr,EN,1,Yes,39,31632,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I rent a house or apartment,,All of the time,Very stressful,Very stressful,Very stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Smart home device (e.g., Alexa, Google Home),Other (please specify)",Medical wear and VR gaming device,"Not applicable, my children are old enough they do not require childcare",,,Somewhat stressful,Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Most of the time,Yes
2023-01-26 09:20:23,2023-01-26 09:24:00,IP Address,100,217,True,2023-01-26 09:24:02,R_DiBZ6dDl5Cmovi9,anonymous,EN,1,Yes,43,31602,Brooks,"$70,001 - $90,000",Yes,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Somewhat stressful,Not stressful,Somewhat reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Somewhat stressful,I have not used any of the services below,,,,Healthcare,,Cost: Lack of funds to receive services,,Some of the time,Most of the time,Nearly always,Most of the time,Most of the time,Most of the time,Most of the time,Nearly always,No
2023-01-26 09:21:28,2023-01-26 09:25:13,IP Address,100,224,True,2023-01-26 09:25:13,R_3EyBY4WiUCsM0yN,qr,EN,1,Yes,29,31605,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,Most of the time,Somewhat stressful,Somewhat stressful,Somewhat stressful,Not stressful,Somewhat reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Yes, we have additional child care needs",After-school child care,,Very stressful,Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Most of the time,Rarely,No
2023-01-26 09:26:28,2023-01-26 09:29:53,IP Address,100,205,True,2023-01-26 09:29:54,R_1LMfQDbH0nM7FQn,anonymous,EN,1,Yes,49,31601,Lowndes,"$30,001 - $50,000",Yes,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Very stressful,Very stressful,Not stressful,Not at all reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Some of the time,Most of the time,Most of the time,Most of the time,Nearly always,Some of the time,Rarely,Some of the time,Yes
2023-01-26 09:28:44,2023-01-26 09:31:47,IP Address,100,183,True,2023-01-26 09:31:48,R_RaXibafbqZJtvYR,anonymous,EN,1,Yes,51,31635,Lanier,"$50,001 - $70,000",No,Employed full-time (32 hours or more per week),,I rent a house or apartment,,All of the time,Very stressful,Very stressful,Very stressful,Somewhat stressful,Somewhat reliable,Laptop computer,,"Not applicable, I do not have children",,,"Not applicable, I do not have to pay for this",Somewhat stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Most of the time,Some of the time,Some of the time,Yes
2023-01-26 09:28:07,2023-01-26 09:34:31,IP Address,100,384,True,2023-01-26 09:34:32,R_1pxtPx78HS4N5sD,anonymous,EN,1,Yes,35,31602,Lowndes,"$0 - $30,000",No,Employed full-time (32 hours or more per week),,I rent a house or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Somewhat stressful,Not stressful,Very reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Not applicable, I do not have children",,,"Not applicable, I do not have to pay for this",Somewhat stressful,I have not used any of the services below,,,,"Mental health services,Food,Rent or mortgage assistance,Utilities",,Cost: Lack of funds to receive services,,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Nearly always,Some of the time,Most of the time,Yes
2023-01-26 09:31:24,2023-01-26 09:35:02,IP Address,100,218,True,2023-01-26 09:35:03,R_27dsEbVsjAtSSsu,anonymous,EN,1,Yes,48,31602,Lowndes,"$30,001 - $50,000",Yes,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Very stressful,Very stressful,Very stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Smart home device (e.g., Alexa, Google Home)",,"Yes, we require child care but do not have it",Other (please specify),holiday and summer,"Not applicable, I do not have to pay for this",Somewhat stressful,"Healthcare,Medical equipment or supplies",,Government Agency,,"None, I was able to access all the resources I needed",,,,Most of the time,Rarely,Nearly always,Rarely,Some of the time,Most of the time,Some of the time,Most of the time,Yes
2023-01-26 09:43:49,2023-01-26 09:46:50,IP Address,100,181,True,2023-01-26 09:46:51,R_2YgNrbPc61yi6ul,anonymous,EN,1,Yes,50,31632,Lowndes,"Greater than $90,000",No,Other (please specify),Volunteer over 30 hrs a week,I own my own home or apartment,,All of the time,Not stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Nearly always,Some of the time,Most of the time,Some of the time,Some of the time,Most of the time,Yes
2023-01-26 09:53:11,2023-01-26 09:56:23,IP Address,100,192,True,2023-01-26 09:56:23,R_27KBskSlMjyy5MG,anonymous,EN,1,Yes,48,31602,Lowndes,"Greater than $90,000",No,Employed part-time (31 hours or less per week),,I own my own home or apartment,,All of the time,Not stressful,Somewhat stressful,Somewhat stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home),Other (please specify)",Roku,"Yes, my child care needs are met",After-school child care,,Somewhat stressful,Not stressful,Mental health services,,Other (please specify),Private pay mental health provider,"None, I was able to access all the resources I needed",,,,Some of the time,Most of the time,Nearly always,Some of the time,Most of the time,Nearly always,Rarely,Nearly always,No
2023-01-26 10:12:00,2023-01-26 10:14:51,IP Address,100,170,True,2023-01-26 10:14:52,R_28AmpmPcYhSijVr,anonymous,EN,0.8999999761581421,Yes,53,31636,Lowndes,Prefer not to answer,No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Not stressful,Not stressful,Somewhat stressful,Not stressful,Very reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone)",,"Not applicable, I do not have children",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,,,,,Nearly always,Rarely,Rarely,Rarely,Rarely,Some of the time,Nearly always,Rarely,Yes
2023-01-26 10:58:42,2023-01-26 11:02:38,IP Address,100,235,True,2023-01-26 11:02:39,R_0rfVgyK4EmBXYwp,anonymous,EN,1,Yes,46,31639,Berrien,"$50,001 - $70,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Not stressful,Not stressful,Not stressful,Not stressful,Not at all reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home),Other (please specify)",We have all of the above but not good internet to use them,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Rarely,Some of the time,Rarely,Rarely,Most of the time,Nearly always,Rarely,No
2023-01-26 10:58:21,2023-01-26 11:03:13,IP Address,100,292,True,2023-01-26 11:03:18,R_2UVCjD4vCqKIjHg,anonymous,EN,1,Yes,46,31632,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Not stressful,Somewhat stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Yes, my child care needs are met",After-school child care,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Some of the time,Some of the time,Most of the time,Some of the time,Rarely,Most of the time,Some of the time,Some of the time,No
2023-01-26 11:07:07,2023-01-26 11:16:55,IP Address,100,588,True,2023-01-26 11:16:56,R_3g6Pwlm3EEYl7Vo,anonymous,EN,1,Yes,34,31650,Atkinson,"$50,001 - $70,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat reliable,"Smartphone (e.g., iPhone),Tablet",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Nearly always,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Yes
2023-01-26 11:21:03,2023-01-26 11:25:40,IP Address,100,276,True,2023-01-26 11:25:41,R_2QsKPoEdUQ077qN,anonymous,EN,1,Yes,54,31602,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I rent a house or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Somewhat stressful,"Not applicable, do not have to pay for this",Very reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone),Tablet",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Somewhat stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Yes
2023-01-26 11:22:49,2023-01-26 11:26:36,IP Address,100,227,True,2023-01-26 11:26:37,R_3kLiMCAuCLidBVH,anonymous,EN,1,Yes,52,31605,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,Some of the time,Very stressful,Very stressful,Very stressful,Somewhat stressful,Not at all reliable,Desktop computer,,"Not applicable, my children are old enough they do not require childcare",,,Not stressful,Not stressful,"Mental health services,Food,Healthcare",,"Faith-Based Oranizations,Local Food Bank",,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,No
2023-01-26 11:56:45,2023-01-26 11:59:16,IP Address,100,151,True,2023-01-26 11:59:17,R_28zFemHHk3cDZyl,anonymous,EN,0.8999999761581421,Yes,50,31602,Lowndes,"$50,001 - $70,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Very stressful,Somewhat stressful,Somewhat reliable,"Smartphone (e.g., iPhone),Tablet",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Somewhat stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Most of the time,Some of the time,Yes
2023-01-26 12:19:49,2023-01-26 12:22:03,IP Address,100,134,True,2023-01-26 12:22:05,R_1E0VSAShQKScO1D,anonymous,EN,1,Yes,41,31501,Ware,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Not stressful,Not stressful,Somewhat stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Most of the time,Rarely,Yes
2023-01-26 12:16:00,2023-01-26 12:22:58,IP Address,100,418,True,2023-01-26 12:22:59,R_YcyuonChZW3WCt3,qr,EN,1,Yes,52,31642,Atkinson,"$50,001 - $70,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Very stressful,Somewhat stressful,Somewhat stressful,Not stressful,Somewhat reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Somewhat stressful,"Food,Computer or technology equipment,Healthcare",,"Faith-Based Oranizations,Nonprofit organization",,Other (please specify),"Repayment of school loans ","Availability: Resource does not exist in my area,Process: I did not know how to get through all the paperwork and requirements",,Most of the time,Some of the time,Most of the time,Rarely,Some of the time,Nearly always,Some of the time,Some of the time,Yes
2023-01-26 13:04:52,2023-01-26 13:07:56,IP Address,100,184,True,2023-01-26 13:07:57,R_1DGvhiE94fZVsTo,anonymous,EN,0.8999999761581421,Yes,26,31503,Ware,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Not stressful,Not stressful,Somewhat stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Yes, my child care needs are met",Full-time child care,,"Not applicable, I do not have to pay for this",Somewhat stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Some of the time,Rarely,Some of the time,Most of the time,Most of the time,Rarely,Yes
2023-01-26 13:18:36,2023-01-26 13:22:29,IP Address,100,232,True,2023-01-26 13:22:30,R_3qUlchW3sFG0Fcn,anonymous,EN,1,Yes,52,31642,Atkinson,"$50,001 - $70,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,Most of the time,Somewhat stressful,Somewhat stressful,Very stressful,Somewhat stressful,Somewhat reliable,"Laptop computer,Tablet",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Somewhat stressful,"I have not used any of the services below,Medical equipment or supplies",,,,Legal aid,,Cost: Lack of funds to receive services,,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,Yes
2023-01-26 13:39:37,2023-01-26 13:44:45,IP Address,100,307,True,2023-01-26 13:44:46,R_2wvkhWp9Lc9xVVk,anonymous,EN,1,Yes,39,31510,Bacon,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Not stressful,Somewhat stressful,Somewhat stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Yes
2023-01-26 14:41:00,2023-01-26 14:44:44,IP Address,100,223,True,2023-01-26 14:44:44,R_1C8AEdno27VTFSE,anonymous,EN,1,Yes,56,31516,Ware,"$30,001 - $50,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,Most of the time,Somewhat stressful,Not stressful,Somewhat stressful,Somewhat stressful,Somewhat reliable,"Smartphone (e.g., iPhone),Smart home device (e.g., Alexa, Google Home)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,,,,,Food,,Other (please specify),THEY ALWAYS SAY I MAKE TOO MUCH,Most of the time,Rarely,Some of the time,Rarely,Rarely,Some of the time,Most of the time,Rarely,Yes
2023-01-26 14:41:51,2023-01-26 14:50:16,IP Address,100,505,True,2023-01-26 14:50:17,R_28C08ERQ9lh0c5G,anonymous,EN,1,Yes,32,31501,Ware,"$70,001 - $90,000",No,Employed full-time (32 hours or more per week),,I rent a house or apartment,,All of the time,Not stressful,Not stressful,Not stressful,Not stressful,Very reliable,"Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Yes, my child care needs are met",Full-time child care,,Somewhat stressful,Not stressful,"Child care,Healthcare",,Other (please specify),Family,,,Process: I did not know how to get through all the paperwork and requirements,,Some of the time,Some of the time,Most of the time,Some of the time,Most of the time,Nearly always,Some of the time,Some of the time,Yes
2023-01-26 17:53:38,2023-01-26 17:58:42,IP Address,100,303,True,2023-01-26 17:58:43,R_2yrLT1utdjWODDB,anonymous,EN,1,Yes,64,31632,Lowndes,Prefer not to answer,No,Taking care of house/family,,I own my own home or apartment,,All of the time,Not stressful,Not stressful,Not stressful,Not stressful,Somewhat reliable,"Laptop computer,Smartphone (e.g., iPhone)",,"Not applicable, I do not have children",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Yes
2023-01-26 20:38:47,2023-01-26 20:43:11,IP Address,100,263,True,2023-01-26 20:43:11,R_81SAhjyrOyYnONj,anonymous,EN,1,Yes,60,31602,Lowndes,"Greater than $90,000",No,Retired,,I own my own home or apartment,,All of the time,Not stressful,Not stressful,Not stressful,Not stressful,Somewhat reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone),Smart home device (e.g., Alexa, Google Home)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Nearly always,Rarely,Rarely,Rarely,Rarely,Some of the time,Nearly always,Rarely,Yes
2023-01-27 00:49:56,2023-01-27 00:54:16,IP Address,100,259,True,2023-01-27 00:54:16,R_O70YCh3AqgfA7S1,qr,EN,1,Yes,56,31602,Lowndes,"Greater than $90,000",No,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Not stressful,Somewhat stressful,Not stressful,Not stressful,Somewhat reliable,"Desktop computer,Laptop computer,Smartphone (e.g., iPhone),Tablet,Smart home device (e.g., Alexa, Google Home)",,"Not applicable, I do not have children",,,"Not applicable, I do not have to pay for this",Not stressful,I have not used any of the services below,,,,"None, I was able to access all the resources I needed",,,,Some of the time,Most of the time,Most of the time,Rarely,Rarely,Most of the time,Some of the time,Some of the time,Yes
